level_0,index,Lyrics,True_end_lyrics,Generated_lyrics
140,155,Visiting is pretty. Visiting is good. Seems that all they ever wanted was a brother. This can be a secret. We can keep it good. Even all they ever wanted had a problem. This is a call to all my past resignations. This is a call to all. Fingernails are pretty. Fingernails are good. Seems that all they ever wanted was a marking. Them balloons are pretty. Big and say they should ever fall to ground. Call the magic marker. This is a call to all my past resignations. This is a call to all. This is a call to all my past resignations. It's been too long. Minicyn is pretty. Minicyn is good. Even all the cysts and mollusks tend to barter. Ritalin is easy. Ritalin is good. Even all the ones that watered down the daughter. This is a call to all my past resignations. This is a call to all. This is a call to all my past resignations. It's been too long. Fingernails are pretty. Fingernails are good. Seems that all they ever wanted was a marking. Them balloons are pretty. Big and say they should ever fall to ground. Call the magic marker. This is a call to all my past,resignations. This is a call to all. This is a call to all my past resignations. It's been too long., resignations. This is a call to all. This is a call to all my past resignations. This is a call to all my past resign
845,938,"He walked in like he had a plan. Had the eyes of a dead man. Never seen such a blood fan. Bodies twitching while ears ring. Biding time while my heart stings. Got twelve souls, sure of nothing. Wait and see what hell brings. Two tears in a",bucket. The river runs red. Two tears in a bucket. Always fear for the undead. Always fear what I said., wound that was never meant to end. (song ends)
570,631,Wait 'til everybody's gone. And only I can see. What it means to be. Sittin' here in silence on my own. And only I can,see. What it means to be. Sittin' here in silence on my own. Sittin' here in silence on my own.," see.

And only I can see.

Yeah, I got no soul to speak of.

And only I can see."
281,306,I remembered black skies. The lightning all around me. I remembered each flash. As time began to blur. Like a startling sign. That fate had finally found me. And your voice was all I heard. That I get what I deserve. So give me reason. To prove me wrong. To wash this memory clean. Let the floods cross. The distance in your eyes. Give me reason. To fill this hole. Connect this space between. Let it be enough to reach the truth that lies. Across this new divide. There was nothing in sight. But memories left abandoned. There was nowhere to hide. The ashes fell like snow. And the ground caved in. Between where we were standing. And your voice was all I heard. That I get what I deserve. So give me reason. To prove me wrong. To wash this memory clean. Let the floods cross. The distance in your eyes. Across this new divide. In every loss in every lie. In every truth that you deny. And each regret and each goodbye. Was a mistake too great to hide. And your voice was all I heard. That I get what I deserve. So give me reason. To prove me wrong. To wash this memory clean. Let the floods cross. The distance in your eyes. Give me reason. To fill this hole. Connect this space between. Let it,be enough to reach the truth that lies. Across this new divide. Across this new divide. Across this new divide., be enough to reach the truth that lies.
819,908,"When I was young. We used to play the game of hide & seek. Someone go hide, I count to ten. You probably never played. Instead you talk a game of sheep. A skill you almost do perfect. Run, Pig, Run. Here, I, Come. I am no saint & make no claims. To being in the right. Its just for now, I am wrong-less. You probably wondering. With what to do, this has with you. I wanna play the game you missed. Run, Pig, Run. Here,","I , Come. There is no safe place. There is no safe place. There is no safe place to hide."," I, Come."
429,474,"Forgive me, father. For I have sinned. Find me guilty of the life I feel within. When I'm branded. This mark of shame. Should I look down disgraced. Or straight ahead. And know that you must blame. I am (I am) the secret. I am (I am) the sin. I am (I am) the guilty. And I (And I). I am the thorn within. Forgive me, father. For I have sinned. Find me guilty when true guilt is from within. So point your fingers. Point right at me. For I am shadows and will follow you. One and the same are we. I am (I am) the secret. I am (I am) the sin. I am (I am) the guilty. And I (And I). I am the thorn within. I do your time. I take your fall. I'm branded guilty. For us all. So point your fingers. Point right at me. For I am shadows and will follow you. One and the same are we. I am (I am) the secrets. I am (I am) the sin. I am (I am) the guilty. And I (And I). I am the thorn within. I am the thorn within.",I am the thorn within. I am the thorn within. I am the thorn within. I am the thorn within.,
217,239,"Nothing left within, I've been mined. To hell and back again, subterranean. I've been digging in, down inside. I will start again, subterranean. But the truth is so unkind. What do you know, how low the sky. Yeah, the truth is so unkind. What do you know, how low the sky. You might think you know me. I know damn well you don't. Oh no, oh no, you don't. And you might think you own me. I know damn well you don't. Oh no, oh no, you don't. Bury my heart, can I go this alone? Oh no, oh no, you don't. Poison the sound, God in the stone. Oh no, oh no, you don't. Nothing left within, I've been mined. To hell and back again, subterranean. I've been digging in, down inside. I will start again, subterranean. But the truth is so unkind. What do you know, how low the sky. And you might think you own me. I know damn well you don't. Oh no, oh no, you don't. And I might think you love me. But I know damn well you don't. Oh no, oh no, you don't. Bring all your lies, leave them deep in the dirt. Oh no, oh no, you don't. Pull down my eyes, lay me deep in the earth. Oh no, oh no, you don't. Nothing left within,","I've been mined. To hell and back again, subterranean. I've been digging in, down inside. I will start again, subterranean."," I've been mined. To hell and back again, subterranean. I've been digging in, down inside. I will start again, underground."
53,57,"You were not so far behind. You were only fifteen. And you still had peace of mind. Now you're pushing thirty-one. Duty calls, you cut and run. When will this be over with. When will you be gone? Be a man, try to be tough. Once is never quite enough. Give me twenty minutes in between. If you know what I mean. You gotta give if you wanna get. Never let 'em see you sweat. You may cry and you may bleed. But only take the punches you need. Why do you back down. In the face of a big fight? I kick myself for caring about you. You may one day go the distance. Or you might come around. You can kill yourself. Or you can make your mama proud. When you get the energy. You can place a call to me. My number's in the phone book. And I'm not too hard to find. I still live in the same old place. I still got that same old face. I can give you more than twenty minutes of my time. Be a man, try to be tough. Once is never quite enough. Give me twenty minutes in between. Why do you back down. In the face of a big fight? I kick myself for caring about you. You may one day go the distance. Or you might come around. You can kill yourself. Or you can make your mama proud. You can",kill yourself. Or you can make your mama proud. You can kill yourself. Or you can make your mama proud., kick your feet up and down and cry your heart out.
409,453,"Ah. Yeah. Die, die, die my darling. Don't utter a single word. Die, die, die my darling. Just shut your pretty eyes. I will be seeing you again. I will be seeing you, in hell. So don't cry to me oh baby. Your future is in an oblong box. Don't cry to me oh baby. You should have seen it coming on. Don't cry to me oh baby. Had to know it was in your card. Don't cry to me oh baby. Dead-end soul for a dead-end girl. Don't cry to me oh baby. And now your life drains on the floor. Don't cry to me oh baby. Die, die, die my darling. Don't utter a single word. Die, die, die my darling. Just shut your pretty mouth. I will be seeing you again. I will be seeing you, in hell. So don't cry to me oh baby. Your future is in an oblong box. Don't cry to me oh baby. You should have seen it coming on. Don't cry to me oh baby. Had to know it was in your card. Don't cry to me oh baby. Dead-end soul for a dead-end girl. Don't cry to me oh baby. And now your life drains on the floor. Don't cry to me oh baby. Die, die, die my darling. Don't utter a single word. Die, die, die my darling. Just shut","your pretty mouth. I will be seeing you again. I will be seeing you, in hell. Die-die-die. Die-die-die. Die-die-die. Die.", your pretty mouth.
400,442,"Sound starts ripping through your ears. The deafening sound of metal nears. Bodies waiting for his whips. The taste of leather on your lips. Hear the cry of war, louder than before. With his sword in hand to control the land. Crushing metal strikes on this frightening night. Fall on to your knees for the phantom lord. Victims falling under chains. You hear them crying dying pains. The fist of terrors breaking through. Now there's nothing you can do. Hear the cry of war, louder than before. With his sword in hand to control the land. Crushing metal strikes on this frightening night. Fall on to your knees for the phantom lord. The leathered armies have prevailed. The phantom lord has never failed. Smoke is lifting from the ground. The rising volume metal sound. Hear the cry of war, louder than before. With his sword in hand to control the land. Crushing metal strikes on this frightening",night. Fall on to your knees for the phantom lord. Fall to your knees. And bow to the phantom lord!, night. Fall on to your knees for the phantom lord. The children of the dead have fallen to the earth. Voices gone silent in the chaos.
