level_0,index,Lyrics
1,1,"Pearls and swine.
Bereft of me.
Long and weary.
My road has been.
I was lost in the cities.
Alone in the hills.
No sorrow or pity.
For leaving, I feel, yeah.
I am not your rolling wheels.
I am the highway.
I am not your carpet ride.
I am the sky.
Friends and liars.
Don't wait for me.
Cause I'll get on.
All by myself.
I put millions of miles.
Under my heels.
And still too close.
To you, I feel, yeah.
I am not your rolling wheels.
I am the highway.
I am not your carpet ride.
I am the sky.
I am not your blowing wind.
I am the lightning.
I am not your autumn moon.
I am the night, the night.
Yeah! I am not your rolling wheels.
I am the highway.
I am not your carpet ride.
I am the sky.
Well, I am not your blowing wind.
I am the lightning.
I am not your autumn moon.
I am the night, the night.
Yeah, yeah, yeah, yeah.
"
2,2,"And with the early dawn moving right along.
I couldn't buy an eyeful of sleep.
And in the aching night under satellites.
I was not received.
Built with stolen parts, a telephone in my heart.
Someone get me a priest.
To put my mind to bed, this ringing in my head.
Is this a cure or is this a disease?
Nail in my head from my creator.
You gave me life, now show me how to live.
Nail in my head from my creator.
You gave me life, now show me how to live.
And in the after birth on the quiet earth.
Let the stains remind you.
You thought you made a man, you better think again.
Before my role defines you.
Nail in my head from my creator.
You gave me life, now show me how to live.
Nail in my head from my creator.
You gave me life, now show me how to live.
And in your waiting hands, I will land.
And roll out of my skin.
And in your final hours, I will stand.
Ready to begin.
Ready to begin.
Ready to begin.
Ready to begin.
Nail in my head from my creator.
You gave me life, now show me how to live.
Nail in my head from my creator.
You gave me life, now show me how to live.
Show me how to live.
Show me how to live.
Show me how to live.
Show me how to live.
"
3,3,"Someone falls to pieces, sleeping all alone.
Someone kills the pain, spinning in the silence.
She finally drifts away.
Someone gets excited in a chapel yard, catches a bouquet.
Another lays a dozen white roses on a grave.
Yeah, and to be yourself is all that you can do.
Hey, to be yourself is all that you can do.
Someone finds salvation in everyone, another only pain.
Someone tries to hide himself, down inside himself he prays.
Someone swears his true love until the end of time, another runs away.
Separate or united, healthy or insane.
To be yourself is all that you can do (All that you can do), oh.
To be yourself is all that you can do  (All that you can do), oh.
To be yourself is all that you can do  (All that you can do), oh.
To be yourself is all that you can do.
And even when you've paid enough.
Been pulled apart or been held up.
Every single memory of the good or bad.
Faces of luck, don't lose any sleep tonight.
I'm sure everything will end up alright.
You may win or lose.
But to be yourself is all that you can do, yeah.
To be yourself is all that you can do, oh.
To be yourself is all that you can do (All that you can do), oh.
To be yourself is all that you can do (All that you can do), oh-yeah.
To be yourself is all that you can.
Be yourself is all that you can.
Be yourself is all that you can do.
"
4,4,"Well, I've been watching, while you've been coughing.
I've been drinking life, while you've been nauseous.
And so I drink to health, while you kill yourself.
And I've got just one thing that I can offer.
Go on and save yourself.
And take it out on me.
Go on and save yourself.
And take it out on me, yeah.
I'm not a martyr, I'm not a prophet.
And I won't preach to you, but here's a caution.
You better understand, that I won't hold your hand.
But if it helps you mend, then I won't stop it.
Go on and save yourself.
And take it out on me.
Go on and save yourself.
And take it out on me, yeah.
Go on and save yourself.
And take it out on me.
Go on and save yourself.
And take it out on me, yeah.
Drown if you want, and I'll see you at the bottom.
Where you'll crawl on my skin and put the blame on me.
So you don't feel a thing.
Go on and save yourself.
And take it out on me.
Go on and save yourself.
And take it out on me, yeah.
Go on and save yourself.
And take it out on me.
Go on and save yourself.
And take it out on me, yeah.
"
5,5,"I walk the streets of Japan 'til I get lost.
'Cause it doesn't remind me of anything.
With a graveyard tan carrying a cross.
Yeah, it doesn't remind me of anything.
I like studying faces in parking lot.
'Cause it doesn't remind me of anything.
I like drivin' backwards in the fog.
'Cause it doesn't remind me of anything.
The things that I've loved, things that I've lost.
Things I've held sacred that I've dropped.
I won't lie no more you can bet.
I don't wanna learn what I'll need to forget.
I like gypsy moths and radio talk.
'Cause it doesn't remind me of anything.
I like gospel music and canned applause.
'Cause it doesn't remind me of anything.
I like colorful clothing in the sun.
'Cause it doesn't remind me of anything.
I like hammering nails and speaking in tongues.
'Cause it doesn't remind me of anything.
The things that I've loved, things that I've lost.
Things I've held sacred that I've dropped.
I won't lie no more you can bet.
Don't wanna learn what I'll need....
Bend and shape me, I love the way you are.
Slow and sweetly like never before.
Calm and sleeping, we won't stir up the past.
So discreetly we won't look back.
The things that I've loved, things that I've lost.
Things I've held sacred that I've dropped.
I won't lie no more you can bet.
I don't wanna learn what I'll need.
I like throwing my voice and breaking guitars.
'Cause it doesn't remind me of anything.
I like playin' in the sand, what's mine is ours.
If it doesn't remind me of anything.
"
6,6,"Once upon a time.
I was of the mind.
To lay your burden down.
And leave you where you stood.
You believed I could.
You'd seen it done before.
I could read your thoughts.
And tell you what you saw.
And never say a word.
But now all that is gone.
Over with and done.
Never to return.
And I can tell you why.
People die alone.
I can tell you I'm.
A shadow on the sun.
Staring at the loss.
Looking for the cause.
And never really sure.
Nothing but a hole.
To live without a soul.
And nothing to be learned.
And I can tell you why.
People go insane.
I can show you how.
You could do the same.
I can tell you why.
The end will never come.
I can tell you I'm.
A shadow on the sun.
Shapes of every size.
Move behind my eyes.
Doors inside my head.
Bolted from within.
Every drop of flame.
Lights a candle in.
Memory of the one.
Who lived inside my skin.
And I can tell you why.
People go insane.
I can show you how.
You could do the same.
I can tell you why.
The end will never come.
I can tell you I'm.
The shadow on the sun.
Shadow on the sun.
Shadow on the sun.
Shadow on the sun.
Shadow on the sun.
Shadow on the sun.
Shadow on the sun.
Shadow on the sun.
Shadow on the sun.
Sun, sun.
"
7,7,"The first time I saw you.
You were chasing down.
A cyclone.
All alone in a field.
With rail yards and clovers.
I kept rolling on and never thought.
You'd wind up chasing me.
Settle down, I won't hesitate.
To hit the highway.
Before you lay me to waste.
Saddle up and I'll help you find.
Something to drive.
Before you drive me insane.
You're tired of walking and you.
Loathe the ground.
The sidewalk will barely touch your feet.
And life moves too slowly to hold you down.
With wringing hands.
You take it out on me.
Settle down, I won't hesitate.
To hit the highway.
Before you lay me to waste.
Saddle up and I'll help you find.
Something to drive.
Before you drive me insane.
So get yourself a car.
And drive it all alone.
Get yourself a car.
And ride it on the wind.
Get yourself a car.
And drive it all alone.
Get yourself a car.
And ride it on the wind.
Settle down, I won't hesitate.
To hit the highway.
Before you lay me to waste.
Saddle up and I'll help you find.
Something to drive.
Before you drive me insane.
So get yourself a car.
And drive it all alone.
Get yourself a car.
And ride it on the wind.
"
8,8,"And when you wanted me, I came to you.
And when you wanted someone else, I withdrew.
And when you asked for light, I set myself on fire.
And if I go far away, I know.
You'll find another slave.
Now I'm free from what you want.
Now I'm free from what you need.
Now I'm free from what you are.
And when you wanted blood, I cut my veins.
And when you wanted love, I bled myself again.
Now that I've had my fill of you, I'll give you up forever.
And here I go, far away, I know you.
You'll find another slave.
Now I'm free from what you want.
Now I'm free from what you need.
Now I'm free from what you are.
Then a vision came to me.
When you came along.
I gave you everything.
But then you wanted more.
Now I'm free from what you want.
Now I'm free from what you need.
Now I'm free from what you are.
Hey, now I'm free from what you want.
Now I'm free from what you need.
Now I'm free from what you are.
"
9,9,"House is haunted.
I just want to go for a ride.
Out and on.
Before I set this room alight.
Left alone.
Forever, and for crimes unclear.
With my patience gone.
Someone take me far from here.
Yeah, burning that gasoline.
Yeah, burning that gasoline.
New day yawning.
Another day of solitaire.
House is honest.
Clearly more than I can bear.
Drag me off.
Before I set my world on fire.
Out and gone.
The sun will never set tonight.
Yeah, burning that gasoline.
Yeah, burning that gasoline.
No ""What fors"".
Only a can of red.
It says danger on it.
I have found another way.
Burning that gasoline.
Yeah, burning that gasoline.
Burning it all the way.
Burning it all the way.
"
10,11,"Roll me on your frozen fields.
Break my bones to watch them heal.
Drowned me in your thirsty veins.
Where I'll watch and I'll wait.
And pray for the rain.
Curl like smoke and breathe again.
Down your throat, inside your ribs.
Through your spine, and every nerve.
Where I watch and I wait.
And yield to the hurt.
And if you don't believe the sun will rise.
Stand alone and greet the coming night.
In the last remaining light.
The seven moons and the seven suns.
Heaven waits for those who run.
Down your winter and underneath your waves.
Where you watch and you wait.
And pray for the day.
And if you don't believe the sun will rise.
Stand alone and greet the coming night.
In the last remaining light.
And if you don't believe the sun will rise.
Stand alone and greet the coming night.
In the last remaining light.
Light.
Light.
Light.
"
